Temp,Atemp,Hum,Windspeed,Casual,Registered,Cntlag,Cnt
0.2,0.212122,0.5904360000000001,0.160296,120.0,1229.0,5.832896260408557,5.4582418254610365
0.226957,0.22927,0.43695799999999996,0.1869,108.0,1454.0,5.4582418254610365,5.335674929097402
0.204348,0.233209,0.518262,0.0895652,82.0,1518.0,5.335674929097402,5.315381337547995
0.196522,0.208839,0.49869699999999995,0.168726,88.0,1518.0,5.315381337547995,5.250001386571424
0.165,0.162254,0.535834,0.266804,148.0,1362.0,5.250001386571424,4.857664496343629
0.138333,0.116175,0.434168,0.36195,68.0,891.0,4.857664496343629,5.157487671441902
0.150833,0.150888,0.48291799999999996,0.223267,54.0,768.0,5.157487671441902,5.786042260735306
0.169091,0.191464,0.686365,0.122132,41.0,1280.0,5.786042260735306,5.266739169097327
0.172727,0.160473,0.599546,0.304627,43.0,1220.0,5.266739169097327,5.228291166330526
0.165,0.150883,0.47041799999999995,0.301,25.0,1137.0,5.228291166330526,5.502244486227915
0.16087,0.188413,0.537827,0.126548,38.0,1368.0,5.502244486227915,5.322250406995651
0.233333,0.248112,0.498751,0.157963,54.0,1367.0,5.322250406995651,5.181819772101433
0.231667,0.234217,0.483751,0.188433,222.0,1026.0,5.181819772101433,5.275745428208554
0.175833,0.176771,0.537501,0.194017,251.0,953.0,5.275745428208554,5.125989004382531
0.216667,0.232333,0.861668,0.146775,117.0,883.0,5.125989004382531,4.930377931857814
0.292174,0.298422,0.7417400000000001,0.208317,9.0,674.0,4.930377931857814,6.193674058592997
0.261667,0.25505,0.538334,0.195904,78.0,1572.0,6.193674058592997,5.466827452788901
0.1775,0.157833,0.457084,0.353242,83.0,1844.0,5.466827452788901,5.089402535217955
0.0591304,0.0790696,0.400001,0.17197,75.0,1468.0,5.089402535217955,4.8587269584713635
0.0965217,0.0988391,0.436523,0.2466,93.0,888.0,4.8587269584713635,5.3167222463064325
0.0973913,0.11793,0.49173999999999995,0.15833,150.0,836.0,5.3167222463064325,5.6735732709201905
0.223478,0.234526,0.616958,0.129796,86.0,1330.0,5.6735732709201905,5.649421270136786
0.2175,0.2036,0.8625010000000001,0.29385,186.0,1799.0,5.649421270136786,3.944800827435336
0.195,0.2197,0.687501,0.113837,34.0,472.0,3.944800827435336,5.151209772085442
0.203478,0.223317,0.7930440000000001,0.1233,15.0,416.0,5.151209772085442,6.307721893451969
0.196522,0.212126,0.65174,0.145365,38.0,1129.0,6.307721893451969,5.250692341052081
0.216522,0.250322,0.722175,0.0739826,123.0,975.0,5.250692341052081,5.309815196707646
0.180833,0.18625,0.603751,0.187192,140.0,956.0,5.309815196707646,5.626102715394661
0.192174,0.23453,0.829566,0.053213,42.0,1459.0,5.626102715394661,5.212991498365796
0.26,0.254417,0.775418,0.264308,47.0,1313.0,5.212991498365796,5.426803584383466
0.186957,0.177878,0.43782699999999997,0.277752,72.0,1454.0,5.426803584383466,5.327243349338051
0.211304,0.228587,0.585218,0.127839,61.0,1489.0,5.327243349338051,5.408706515704384
0.233333,0.243058,0.929168,0.161079,88.0,1620.0,5.408706515704384,4.781302797413821
0.285833,0.291671,0.568334,0.1418,100.0,905.0,4.781302797413821,5.790927098290576
0.271667,0.303658,0.738334,0.0454083,354.0,1269.0,5.790927098290576,5.365024340456257
0.220833,0.198246,0.537918,0.36195,120.0,1592.0,5.365024340456257,5.1992438089539545
0.134783,0.144283,0.49478399999999995,0.188839,64.0,1466.0,5.1992438089539545,5.359494372446796
0.144348,0.149548,0.43739199999999995,0.221935,53.0,1552.0,5.359494372446796,5.268997465770633
0.189091,0.213509,0.5063650000000001,0.10855,47.0,1491.0,5.268997465770633,5.438482937603119
0.2225,0.232954,0.544168,0.203367,149.0,1597.0,5.438482937603119,5.140932914158435
0.316522,0.324113,0.45739199999999997,0.260883,288.0,1184.0,5.140932914158435,5.388121218517056
0.415,0.39835,0.37583399999999995,0.417908,397.0,1192.0,5.388121218517056,5.497206154172697
0.266087,0.254274,0.314349,0.291374,208.0,1705.0,5.497206154172697,5.259051128527859
0.318261,0.3162,0.423479,0.251791,140.0,1675.0,5.259051128527859,5.464607696050588
0.435833,0.428658,0.505001,0.230104,218.0,1897.0,5.464607696050588,5.4688239347915735
0.521667,0.511983,0.516668,0.264925,259.0,2216.0,5.4688239347915735,5.4793759629582555
0.399167,0.391404,0.187918,0.507463,579.0,2348.0,5.4793759629582555,4.729303147908629
0.285217,0.27733,0.407827,0.223235,532.0,1103.0,4.729303147908629,5.414426754540731
